date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:25	1276/1276	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-4fc%22	https://ras-it.rs/wp-content/plugins/mpc-massive/assets/css/libs/slick.min.css?ver=4.9.7	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/mpc-massive/assets/css/libs/slick.min37cb.css	(from https://ras-it.rs/)
21:17:26	39094/39094	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:22%20GMT	https://ras-it.rs/contact/	S:/Web%20copies/Website%200108/ras-it.rs/contact/index.html	(from https://ras-it.rs/)
21:17:26	47684/47684	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:22%20GMT	https://ras-it.rs/terms-and-conditions/	S:/Web%20copies/Website%200108/ras-it.rs/terms-and-conditions/index.html	(from https://ras-it.rs/)
21:17:27	4378/4378	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-111a%22	https://ras-it.rs/wp-content/plugins/mpc-massive/assets/fonts/etl/etl.min.css?ver=2.3.3	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/mpc-massive/assets/fonts/etl/etl.minb6db.css	(from https://ras-it.rs/)
21:17:27	14300/14300	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-37dc%22	https://ras-it.rs/wp-content/plugins/mpc-massive/assets/fonts/el/el.min.css?ver=2.3.3	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/mpc-massive/assets/fonts/el/el.minb6db.css	(from https://ras-it.rs/)
21:17:27	35883/35883	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-8c2b%22	https://ras-it.rs/wp-content/plugins/mpc-massive/assets/fonts/mi/mi.min.css?ver=2.3.3	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/mpc-massive/assets/fonts/mi/mi.minb6db.css	(from https://ras-it.rs/)
21:17:27	126285/126285	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-1ed53%22	https://ras-it.rs/wp-content/themes/mf/assets/js/jquery.main.js?ver=20120206	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/js/jquery.main11a8.js	(from https://ras-it.rs/)
21:17:27	14883/14883	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-4ab3%22	https://ras-it.rs/wp-content/themes/mf/assets/js/controller.js?ver=20130118	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/js/controller0da9.js	(from https://ras-it.rs/)
21:17:28	239555/239555	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-3a7d1%22	https://ras-it.rs/wp-content/themes/mf/assets/js/jquery-ui.js?ver=20130118	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/js/jquery-ui0da9.js	(from https://ras-it.rs/)
21:17:28	66840/66840	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-1051c%22	https://ras-it.rs/wp-content/themes/mf/assets/js/plugins.js?ver=20130118	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/js/plugins0da9.js	(from https://ras-it.rs/)
